dataset_name,clust_tool,id,nt,num_seq,min_nt,max-nt,avg_nt,alphabet,word_width,word_ones,spaced,hashed,coded,stepped,slots,DBAccel,num_clusters,min_cluster_size,max_clust_size,avg_clust_size,num_singletons,perc_seqs_singleton,perc_cluster_singleton,run_time,max-mem
60x50,usearch,0.995,294350,3000,79,106,98.11666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,50,100,50.8,0,0.00%,0.00%,1.00s,8.6Mb
60x50mutinter,usearch,0.995,295469,3000,78,107,98.48966667,NA,NA,NA,NA,NA,NA,NA,NA,NA,2626,1,8,1.1,2365,90.10%,90.10%,1.00s,9.3Mb
60x50mutstack,usearch,0.995,295525,3000,78,107,98.50833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2614,1,8,1.1,2343,89.60%,89.60%,1.00s,9.4Mb
Control-t1,usearch,0.995,357217,3467,42,243,103.0334583,NA,NA,NA,NA,NA,NA,NA,NA,NA,2855,1,12,1.2,2484,84.20%,87.00%,1.00s,13Mb
Control-t2,usearch,0.995,184893,1814,48,157,101.9255788,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639,1,6,1.1,1513,90.90%,92.30%,1.00s,11Mb
GTZ-t1,usearch,0.995,382140,3843,40,269,99.43793911,NA,NA,NA,NA,NA,NA,NA,NA,NA,2115,1,297,1.8,1814,77.10%,85.80%,1.00s,12Mb
GTZ-t2,usearch,0.995,152136,1526,41,153,99.69593709,NA,NA,NA,NA,NA,NA,NA,NA,NA,1364,1,15,1.1,1250,88.80%,91.60%,1.00s,11Mb
Glyphosate-t1,usearch,0.995,514742,5025,41,277,102.4362189,NA,NA,NA,NA,NA,NA,NA,NA,NA,3486,1,188,1.4,2959,77.30%,84.90%,1.00s,14Mb
Glyphosate-t2,usearch,0.995,180842,1796,36,128,100.6915367,NA,NA,NA,NA,NA,NA,NA,NA,NA,1618,1,29,1.1,1519,91.10%,93.90%,1.00s,11Mb
Hao_skin_axillary_hv5,usearch,0.995,1519427,1130,1241,1387,1344.625664,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009,1,34,1.1,978,96.90%,96.90%,1.00s,12Mb
Huse_gb_2007_8_7_r143_s2,usearch,0.995,32816656,340150,45,169,96.47701308,NA,NA,NA,NA,NA,NA,NA,NA,NA,19241 (19.2k),1,13669 (13.7k),17.7,13674 (13.7k),58.30%,71.10%,3.00s,91Mb
QuinceArtficialGSFLXClean,usearch,0.995,9138642,34308,200,289,266.3705841,NA,NA,NA,NA,NA,NA,NA,NA,NA,9374,1,2120,3.7,7235,58.50%,77.20%,1.00s,39Mb
QuincePriestPotGSFLXClean,usearch,0.995,4170828,16222,200,303,257.1093577,NA,NA,NA,NA,NA,NA,NA,NA,NA,6126,1,759,2.6,4991,52.70%,81.50%,1.00s,27Mb
Youssef,usearch,0.995,1684019,1132,952,1542,1487.649293,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,1,2,1,1124,99.60%,99.60%,1.00s,12Mb
